Vsegments	rank
Musmus IGHV5-1	1
Musmus IGHV2-1	2
Musmus IGHV5-2	3
Musmus IGHV2-2	4
Musmus IGHV5-3	5
Musmus IGHV5-4	6
Musmus IGHV6-1	7
Musmus IGHV2-3	8
Musmus IGHV5-5	9
Musmus IGHV5-6	10
Musmus IGHV5-7	11
Musmus IGHV2-4	12
Musmus IGHV5-8	13
Musmus IGHV5-9	14
Musmus IGHV5-10	15
Musmus IGHV2-5	16
Musmus IGHV5-11	17
Musmus IGHV5-12	18
Musmus IGHV2-6	19
Musmus IGHV5-9-1	20
Musmus IGHV5-12-4	21
Musmus IGHV2-9-1	22
Musmus IGHV5-13	23
Musmus IGHV2-6-8	24
Musmus IGHV2-7	25
Musmus IGHV5-15	26
Musmus IGHV5-16	27
Musmus IGHV5-17	28
Musmus IGHV5-18	29
Musmus IGHV2-8	30
Musmus IGHV2-9	31
Musmus IGHV5-19	32
Musmus IGHV7-1	33
Musmus IGHV7-2	34
Musmus IGHV14-1	35
Musmus IGHV4-1	36
Musmus IGHV3-1	37
Musmus IGHV11-1	38
Musmus IGHV14-2	39
Musmus IGHV4-2	40
Musmus IGHV3-2	41
Musmus IGHV11-2	42
Musmus IGHV14-3	43
Musmus IGHV16-1	44
Musmus IGHV6-2	45
Musmus IGHV9-1	46
Musmus IGHV12-1	47
Musmus IGHV9-2	48
Musmus IGHV12-2	49
Musmus IGHV9-3	50
Musmus IGHV7-3	51
Musmus IGHV15-1	52
Musmus IGHV14-4	53
Musmus IGHV3-3	54
Musmus IGHV7-4	55
Musmus IGHV3-4	56
Musmus IGHV3-5	57
Musmus IGHV13-1	58
Musmus IGHV3-6	59
Musmus IGHV9-4	60
Musmus IGHV3-7	61
Musmus IGHV5-21	62
Musmus IGHV3-8	63
Musmus IGHV8-1	64
Musmus IGHV1-1	65
Musmus IGHV13-2	66
Musmus IGHV12-3	67
Musmus IGHV6-3	68
Musmus IGHV6-4	69
Musmus IGHV6-5	70
Musmus IGHV6-6	71
Musmus IGHV6-7	72
Musmus IGHV8-2	73
Musmus IGHV1-2	74
Musmus IGHV10-1	75
Musmus IGHV1-3	76
Musmus IGHV1-4	77
Musmus IGHV10-2	78
Musmus IGHV1-5	79
Musmus IGHV10-3	80
Musmus IGHV1-6	81
Musmus IGHV1-7	82
Musmus IGHV10-4	83
Musmus IGHV1-8	84
Musmus IGHV15-2	85
Musmus IGHV1-9	86
Musmus IGHV1-10	87
Musmus IGHV1-11	88
Musmus IGHV1-12	89
Musmus IGHV1-13	90
Musmus IGHV1-14	91
Musmus IGHV1-15	92
Musmus IGHV1-16	93
Musmus IGHV1-17-1	94
Musmus IGHV1-17	95
Musmus IGHV1-18	96
Musmus IGHV1-19-1	97
Musmus IGHV1-19	98
Musmus IGHV1-20	99
Musmus IGHV1-21-1	100
Musmus IGHV1-21	101
Musmus IGHV1-22	102
Musmus IGHV1-23	103
Musmus IGHV1-24	104
Musmus IGHV1-25	105
Musmus IGHV1-26	106
Musmus IGHV1-27	107
Musmus IGHV1-28	108
Musmus IGHV1-29	109
Musmus IGHV1-30	110
Musmus IGHV1-31	111
Musmus IGHV1-32	112
Musmus IGHV1-33	113
Musmus IGHV1-34	114
Musmus IGHV1-35	115
Musmus IGHV1-36	116
Musmus IGHV1-37	117
Musmus IGHV1-38	118
Musmus IGHV1-39	119
Musmus IGHV1-40	120
Musmus IGHV1-41	121
Musmus IGHV1-42	122
Musmus IGHV1-43	123
Musmus IGHV1-44	124
Musmus IGHV1-45	125
Musmus IGHV1-46	126
Musmus IGHV1-47	127
Musmus IGHV8-3	128
Musmus IGHV8-4	129
Musmus IGHV1-48	130
Musmus IGHV1-49	131
Musmus IGHV8-5	132
Musmus IGHV1-50	133
Musmus IGHV1-51	134
Musmus IGHV1-52	135
Musmus IGHV1-53	136
Musmus IGHV8-6	137
Musmus IGHV1-54	138
Musmus IGHV1-55	139
Musmus IGHV1-56	140
Musmus IGHV8-7	141
Musmus IGHV1-57	142
Musmus IGHV8-8	143
Musmus IGHV1-58	144
Musmus IGHV1-59	145
Musmus IGHV1-60	146
Musmus IGHV1-61	147
Musmus IGHV1-62	148
Musmus IGHV1-62-1	149
Musmus IGHV1-62-2	150
Musmus IGHV1-62-3	151
Musmus IGHV8-9	152
Musmus IGHV1-63	153
Musmus IGHV1-64	154
Musmus IGHV8-10	155
Musmus IGHV1-65	156
Musmus IGHV8-11	157
Musmus IGHV1-66	158
Musmus IGHV1-67	159
Musmus IGHV1-68	160
Musmus IGHV1-69	161
Musmus IGHV8-12	162
Musmus IGHV1-70	163
Musmus IGHV1-71	164
Musmus IGHV1-72	165
Musmus IGHV8-13	166
Musmus IGHV1-73	167
Musmus IGHV1-74	168
Musmus IGHV8-14	169
Musmus IGHV1-75	170
Musmus IGHV8-15	171
Musmus IGHV1-76	172
Musmus IGHV8-16	173
Musmus IGHV1-77	174
Musmus IGHV1-78	175
Musmus IGHV1-79	176
Musmus IGHV1-80	177
Musmus IGHV1-81	178
Musmus IGHV1-82	179
Musmus IGHV1-83	180
Musmus IGHV1-84	181
Musmus IGHV1-85	182
Musmus IGHV1-86	183
Musmus IGHV9-3	184
Musmus IGHV14-4	185
Musmus IGHV3-3	186
Musmus IGHV7-4	187
Musmus IGHV3-5	188
Musmus IGHV13-1	189
Musmus IGHV3-8	190
Musmus IGHV6-3	191
Musmus IGHV6-4	192
Musmus IGHV6-6	193
